date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:18:53	2589/2589	---M--	200	added ('OK')	application/javascript	etag:%2235ee05a-a1d-50aea3583ac00%22	http://egu.space/js/jquery.scrollTo.min.js	C:/My%20Web%20Sites/test/egu.space/js/jquery.scrollTo.min.js	(from http://egu.space/)
16:18:54	1488/1488	---M--	200	added ('OK')	application/javascript	etag:%2235ee058-5d0-50aea3583ac00%22	http://egu.space/js/jquery.localScroll.min.js	C:/My%20Web%20Sites/test/egu.space/js/jquery.localScroll.min.js	(from http://egu.space/)
16:18:57	14916/14916	---M--	200	added ('OK')	application/javascript	etag:%2235ee05e-3a44-50aea3583ac00%22	http://egu.space/js/owl.carousel.min.js	C:/My%20Web%20Sites/test/egu.space/js/owl.carousel.min.js	(from http://egu.space/)
16:18:58	6775/6775	---M--	200	added ('OK')	application/javascript	etag:%2235ee05d-1a77-50aea3583ac00%22	http://egu.space/js/nivo-lightbox.min.js	C:/My%20Web%20Sites/test/egu.space/js/nivo-lightbox.min.js	(from http://egu.space/)
16:18:59	3959/3959	---M--	200	added ('OK')	application/javascript	etag:%2235ee061-f77-50aea3583ac00%22	http://egu.space/js/simple-expand.min.js	C:/My%20Web%20Sites/test/egu.space/js/simple-expand.min.js	(from http://egu.space/)
16:19:01	7064/7064	---M--	200	added ('OK')	application/javascript	etag:%2235ee063-1b98-50aea3583ac00%22	http://egu.space/js/wow.min.js	C:/My%20Web%20Sites/test/egu.space/js/wow.min.js	(from http://egu.space/)
16:19:04	12636/12636	---M--	200	added ('OK')	application/javascript	etag:%2235ee05b-315c-50aea3583ac00%22	http://egu.space/js/jquery.stellar.min.js	C:/My%20Web%20Sites/test/egu.space/js/jquery.stellar.min.js	(from http://egu.space/)
16:19:04	2575/2575	---M--	200	added ('OK')	application/javascript	etag:%2235ee060-a0f-50aea3583ac00%22	http://egu.space/js/retina.min.js	C:/My%20Web%20Sites/test/egu.space/js/retina.min.js	(from http://egu.space/)
16:19:06	5138/5138	---M--	200	added ('OK')	application/javascript	etag:%2235ee059-1412-50aea3583ac00%22	http://egu.space/js/jquery.nav.js	C:/My%20Web%20Sites/test/egu.space/js/jquery.nav.js	(from http://egu.space/)
16:19:06	1700/1700	---M--	200	added ('OK')	application/javascript	etag:%2235ee05c-6a4-50aea3583ac00%22	http://egu.space/js/matchMedia.js	C:/My%20Web%20Sites/test/egu.space/js/matchMedia.js	(from http://egu.space/)
16:19:07	2369/2369	---M--	200	added ('OK')	application/javascript	etag:%2235ee056-941-50aea3583ac00%22	http://egu.space/js/jquery.ajaxchimp.min.js	C:/My%20Web%20Sites/test/egu.space/js/jquery.ajaxchimp.min.js	(from http://egu.space/)
16:19:08	3262/3262	---M--	200	added ('OK')	application/javascript	etag:%2235ee057-cbe-50aea3583ac00%22	http://egu.space/js/jquery.fitvids.js	C:/My%20Web%20Sites/test/egu.space/js/jquery.fitvids.js	(from http://egu.space/)
16:19:10	9640/9640	---M--	200	added ('OK')	application/javascript	etag:%2235ee054-25a8-50aea3583ac00%22	http://egu.space/js/custom.js	C:/My%20Web%20Sites/test/egu.space/js/custom.js	(from http://egu.space/)
16:19:11	309708/309708	---M--	200	added ('OK')	image/jpeg	etag:%2235ee04e-4b9cc-52c0a7a239280%22	http://egu.space/images/screenshots/2.jpg	C:/My%20Web%20Sites/test/egu.space/images/screenshots/2.jpg	(from http://egu.space/)
16:19:13	20290/20290	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2235ee02f-4f42-50aea35652780%22	http://egu.space/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/test/egu.space/fonts/glyphicons-halflings-regular.eot	(from http://egu.space/css/bootstrap.min.css)
16:19:15	23292/23292	---M--	200	added ('OK')	text/plain	etag:%2235ee032-5afc-50aea35652780%22	http://egu.space/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/test/egu.space/fonts/glyphicons-halflings-regular.woff	(from http://egu.space/css/bootstrap.min.css)
16:19:17	20290/20290	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2235ee02f-4f42-50aea35652780%22	http://egu.space/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/test/egu.space/fonts/glyphicons-halflings-regulard41d.eot	(from http://egu.space/css/bootstrap.min.css)
16:19:18	62850/62850	---M--	200	added ('OK')	image/svg+xml	etag:%2235ee030-f582-50aea35652780%22	http://egu.space/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/test/egu.space/fonts/glyphicons-halflings-regular.svg	(from http://egu.space/css/bootstrap.min.css)
16:19:23	41236/41236	---M--	200	added ('OK')	text/plain	etag:%2235ee031-a114-50aea35652780%22	http://egu.space/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/test/egu.space/fonts/glyphicons-halflings-regular.ttf	(from http://egu.space/css/bootstrap.min.css)
16:19:28	59572/59572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2235ee00b-e8b4-50aea35652780%22	http://egu.space/assets/elegant-icons/fonts/ElegantIcons.eot	C:/My%20Web%20Sites/test/egu.space/assets/elegant-icons/fonts/ElegantIcons.eot	(from http://egu.space/assets/elegant-icons/style.css)
16:19:33	59388/59388	---M--	200	added ('OK')	text/plain	etag:%2235ee00d-e7fc-50aea35652780%22	http://egu.space/assets/elegant-icons/fonts/ElegantIcons.ttf	C:/My%20Web%20Sites/test/egu.space/assets/elegant-icons/fonts/ElegantIcons.ttf	(from http://egu.space/assets/elegant-icons/style.css)
16:19:36	277297/277297	---M--	200	added ('OK')	image/svg+xml	etag:%2235ee00c-43b31-50aea35652780%22	http://egu.space/assets/elegant-icons/fonts/ElegantIcons.svg	C:/My%20Web%20Sites/test/egu.space/assets/elegant-icons/fonts/ElegantIcons.svg	(from http://egu.space/assets/elegant-icons/style.css)
16:19:38	59572/59572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2235ee00b-e8b4-50aea35652780%22	http://egu.space/assets/elegant-icons/fonts/ElegantIcons.eot?	C:/My%20Web%20Sites/test/egu.space/assets/elegant-icons/fonts/ElegantIconsd41d.eot	(from http://egu.space/assets/elegant-icons/style.css)
16:19:39	2548/2548	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2235ee004-9f4-50aea35652780%22	http://egu.space/assets/app-icons/fonts/app-icons.eot	C:/My%20Web%20Sites/test/egu.space/assets/app-icons/fonts/app-icons.eot	(from http://egu.space/assets/app-icons/styles.css)
16:19:40	2548/2548	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2235ee004-9f4-50aea35652780%22	http://egu.space/assets/app-icons/fonts/app-icons.eot?	C:/My%20Web%20Sites/test/egu.space/assets/app-icons/fonts/app-iconsd41d.eot	(from http://egu.space/assets/app-icons/styles.css)
16:19:40	1612/1612	---M--	200	added ('OK')	text/plain	etag:%2235ee007-64c-50aea35652780%22	http://egu.space/assets/app-icons/fonts/app-icons.woff	C:/My%20Web%20Sites/test/egu.space/assets/app-icons/fonts/app-icons.woff	(from http://egu.space/assets/app-icons/styles.css)
16:19:41	2380/2380	---M--	200	added ('OK')	text/plain	etag:%2235ee006-94c-50aea35652780%22	http://egu.space/assets/app-icons/fonts/app-icons.ttf	C:/My%20Web%20Sites/test/egu.space/assets/app-icons/fonts/app-icons.ttf	(from http://egu.space/assets/app-icons/styles.css)
16:19:41	2707/2707	---M--	200	added ('OK')	image/svg+xml	etag:%2235ee005-a93-50aea35652780%22	http://egu.space/assets/app-icons/fonts/app-icons.svg	C:/My%20Web%20Sites/test/egu.space/assets/app-icons/fonts/app-icons.svg	(from http://egu.space/assets/app-icons/styles.css)
16:19:42	1085/1085	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2012%20May%202016%2013:19:42%20GMT	http://egu.space/css/AjaxLoader.gif	C:/My%20Web%20Sites/test/egu.space/css/AjaxLoader.gif	(from http://egu.space/css/owl.theme.css)
16:19:42	1085/1085	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2012%20May%202016%2013:19:42%20GMT	http://egu.space/css/grabbing.png	C:/My%20Web%20Sites/test/egu.space/css/grabbing.png	(from http://egu.space/css/owl.carousel.css)
16:19:43	7303/7303	---M--	200	added ('OK')	image/gif	etag:%2235ee024-1c87-50aea35652780%22	http://egu.space/css/nivo_themes/default/loading.gif	C:/My%20Web%20Sites/test/egu.space/css/nivo_themes/default/loading.gif	(from http://egu.space/css/nivo_themes/default/default.css)
16:19:44	1377/1377	---M--	200	added ('OK')	image/png	etag:%2235ee028-561-50aea35652780%22	http://egu.space/css/nivo_themes/default/prev.png	C:/My%20Web%20Sites/test/egu.space/css/nivo_themes/default/prev.png	(from http://egu.space/css/nivo_themes/default/default.css)
16:19:44	1329/1329	---M--	200	added ('OK')	image/png	etag:%2235ee026-531-50aea35652780%22	http://egu.space/css/nivo_themes/default/next.png	C:/My%20Web%20Sites/test/egu.space/css/nivo_themes/default/next.png	(from http://egu.space/css/nivo_themes/default/default.css)
16:19:45	1222/1222	---M--	200	added ('OK')	image/png	etag:%2235ee021-4c6-50aea35652780%22	http://egu.space/css/nivo_themes/default/close.png	C:/My%20Web%20Sites/test/egu.space/css/nivo_themes/default/close.png	(from http://egu.space/css/nivo_themes/default/default.css)
16:19:46	63664/63664	---M--	200	added ('OK')	text/plain	etag:%2235ee00e-f8b0-50aea35652780%22	http://egu.space/assets/elegant-icons/fonts/ElegantIcons.woff	C:/My%20Web%20Sites/test/egu.space/assets/elegant-icons/fonts/ElegantIcons.woff	(from http://egu.space/assets/elegant-icons/style.css)
16:19:46	1746/1746	---M--	200	added ('OK')	image/png	etag:%2235ee029-6d2-50aea35652780%22	http://egu.space/css/nivo_themes/default/prev@2x.png	C:/My%20Web%20Sites/test/egu.space/css/nivo_themes/default/prev@2x.png	(from http://egu.space/css/nivo_themes/default/default.css)
16:19:47	1839/1839	---M--	200	added ('OK')	image/png	etag:%2235ee027-72f-50aea35652780%22	http://egu.space/css/nivo_themes/default/next@2x.png	C:/My%20Web%20Sites/test/egu.space/css/nivo_themes/default/next@2x.png	(from http://egu.space/css/nivo_themes/default/default.css)
16:19:47	1690/1690	---M--	200	added ('OK')	image/png	etag:%2235ee022-69a-50aea35652780%22	http://egu.space/css/nivo_themes/default/close@2x.png	C:/My%20Web%20Sites/test/egu.space/css/nivo_themes/default/close@2x.png	(from http://egu.space/css/nivo_themes/default/default.css)
16:19:48	18134/18134	---M--	200	added ('OK')	image/gif	etag:%2235ee025-46d6-50aea35652780%22	http://egu.space/css/nivo_themes/default/loading@2x.gif	C:/My%20Web%20Sites/test/egu.space/css/nivo_themes/default/loading@2x.gif	(from http://egu.space/css/nivo_themes/default/default.css)
16:19:51	18744/18744	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2235ee033-4938-50aea35652780%22	http://egu.space/fonts/lanenar_Lane.eot	C:/My%20Web%20Sites/test/egu.space/fonts/lanenar_Lane.eot	(from http://egu.space/css/styles.css)
16:19:53	31076/31076	---M--	200	added ('OK')	image/gif	etag:%2235ee049-7964-50aea35652780%22	http://egu.space/images/loading.gif	C:/My%20Web%20Sites/test/egu.space/images/loading.gif	(from http://egu.space/css/styles.css)
16:19:55	22084/22084	---M--	200	added ('OK')	text/plain	etag:%2235ee036-5644-50aea35652780%22	http://egu.space/fonts/lanenar_Lane.woff	C:/My%20Web%20Sites/test/egu.space/fonts/lanenar_Lane.woff	(from http://egu.space/css/styles.css)
16:19:56	18744/18744	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2235ee033-4938-50aea35652780%22	http://egu.space/fonts/lanenar_Lane.eot?	C:/My%20Web%20Sites/test/egu.space/fonts/lanenar_Laned41d.eot	(from http://egu.space/css/styles.css)
16:19:57	61350/61350	---M--	200	added ('OK')	image/svg+xml	etag:%2235ee034-efa6-50aea35652780%22	http://egu.space/fonts/lanenar_Lane.svg	C:/My%20Web%20Sites/test/egu.space/fonts/lanenar_Lane.svg	(from http://egu.space/css/styles.css)
16:20:02	38016/38016	---M--	200	added ('OK')	text/plain	etag:%2235ee035-9480-50aea35652780%22	http://egu.space/fonts/lanenar_Lane.ttf	C:/My%20Web%20Sites/test/egu.space/fonts/lanenar_Lane.ttf	(from http://egu.space/css/styles.css)
16:20:20	111189/111189	---M--	200	added ('OK')	image/jpeg	etag:%2235ee03f-1b255-52c0a63ba4480%22	http://egu.space/images/bg-2.jpg	C:/My%20Web%20Sites/test/egu.space/images/bg-2.jpg	(from http://egu.space/css/styles.css)
16:20:44	148062/148062	---M--	200	added ('OK')	image/jpeg	etag:%2235ee040-2425e-52c0a67e66200%22	http://egu.space/images/bg-3.jpg	C:/My%20Web%20Sites/test/egu.space/images/bg-3.jpg	(from http://egu.space/css/styles.css)
16:20:47	777593/777593	---M--	200	added ('OK')	image/jpeg	etag:%2235ee050-bdd79-52c0a81a62e00%22	http://egu.space/images/screenshots/4.jpg	C:/My%20Web%20Sites/test/egu.space/images/screenshots/4.jpg	(from http://egu.space/)
16:20:51	358066/358066	---M--	200	added ('OK')	image/jpeg	etag:%2235ee03e-576b2-52c0a70201880%22	http://egu.space/images/bg-1.jpg	C:/My%20Web%20Sites/test/egu.space/images/bg-1.jpg	(from http://egu.space/css/styles.css)
16:20:57	1793625/1793625	---M--	200	added ('OK')	image/png	etag:%2235ee068-1b5e59-52c0b38d07040%22	http://egu.space/images/33.png	C:/My%20Web%20Sites/test/egu.space/images/33.png	(from http://egu.space/)
